index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:21:21,2020-11-29 09:31:20,0,0,2020-11-29 09:21:21,www.accuweather.com,1606660280,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:21:21,2020-11-29 10:21:20,1,0,2020-11-29 09:21:21,accuweather.com,1606663280,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:21:21,2020-11-29 11:21:21,1,0,2020-11-29 09:21:21,accuweather.com,1606666881,.accuweather.com,1,0,ak_bmsc,/,0,0,16F54DD8872B12818E9D3801ADE80617B81B7843661A000060AEC35F1F935B19~pl9Ay+WgosPPRMf4OvuFsWX1CFdmW7yoIo4wSlscFmUh16YUMj7uwho8D64XL9jBYrz6/HmGJHZSaoblTF53fcDaGWO3fCD3cilQYgc09dAIa2dWO+612ylDavmQR/g80+p7jvHgogcuDzU3vbw2fSgCRwUlTC9+AP3ay954ZWoB3WbCTX3LN/Kdk0USgpz3RLIuHyD18YT7fk4VAAo4GBzzruNuNLYStdf1JImmxmlNM=
3,4,1,1,changed,2020-11-29 09:21:21,2020-11-29 11:21:20,1,0,2020-11-29 09:21:21,accuweather.com,1606666880,.accuweather.com,1,0,ak_bmsc,/,0,0,16F54DD8872B12818E9D3801ADE80617B81B7843661A000060AEC35F1F935B19~pl+bDMOfqgGAq4BYQL49gw8NArESY3O9/h2r0jZ4PZriJ0gj7pXO4HxfpyF0/SU4HkBnr6pwYCHIVrTlGnfBIqzkewx6nRjI7QYXSIO2aoQoaQ8r0TbPNQ7DroyN6p/1ieO3CPsCPwItOM5+j79k1jk+q4PTeCNBr89qgnRMEXASz9EOYyJlXBe23hzaikrQxggrTRZyGjttVNLnbBByONsvaE0QMXjqJAmcYcrzHEAbU9WeyqBP3Suk0RGZmfvi6laYdbk0TtZD5T8q51aApAONDYCIC+0myIGB8s/XWnFbGkNyncXm7vHn8ov1ABX010ZctAp+XuTPutSaRWk94P8Q==
4,5,1,1,added,2020-11-29 09:21:22,2021-11-29 09:21:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1638195682,www.accuweather.com,0,0,_pubcid,/,0,0,501dc769-5f11-4d48-bf89-74d40e131daa
5,6,1,1,added,2020-11-29 09:21:22,2021-11-29 09:21:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1638195682,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606659680259%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606659682426%2C%22loc%22:1606659682000%2C%22cond%22:1606659682426}}}%2C%22cDate%22:%222020-11-29%22}
6,7,1,1,added,2020-11-29 09:21:22,2021-11-29 09:21:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1638195682,www.accuweather.com,0,0,us_privacy,/,0,0,1YNN
7,8,1,1,added,2020-11-29 09:21:22,2020-11-29 09:36:21,0,0,2020-11-29 09:21:22,doubleclick.net,1606660581,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
8,9,1,1,added,2020-11-29 09:21:22,2022-11-29 09:21:22,0,0,2020-11-29 09:21:22,accuweather.com,1669731682,.accuweather.com,1,0,_ga,/,0,0,GA1.2.1059148900.1606659683
9,10,1,1,added,2020-11-29 09:21:22,2020-11-30 09:21:22,0,0,2020-11-29 09:21:22,accuweather.com,1606746082,.accuweather.com,1,0,_gid,/,0,0,GA1.2.797045579.1606659683
