index,id,crawl_id,visit_id,url,method,referrer,response_status,response_status_text,is_cached,headers,channel_id,location,time_stamp,content_hash
0,1,1,1,https://www.accuweather.com/,GET,,200,OK,0,"[[""Content-Type"",""text/html; charset=utf-8""],[""Cache-Control"",""no-store,no-cache""],[""Pragma"",""no-cache""],[""Content-Encoding"",""gzip""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""x-akamai-transformed"",""9 29727 0 pmb=mTOE,2mRUM,3""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""Content-Length"",""27516""],[""Vary"",""Accept-Encoding""],[""Set-Cookie"",""awx_session_essential=%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D; expires=Sun, 29 Nov 2020 14:49:23 GMT; path=/; samesite=lax\nAKA_A2=A; expires=Sun, 29-Nov-2020 15:39:23 GMT; path=/; domain=accuweather.com; secure; HttpOnly\nak_bmsc=7441CB54EE754154982473E3B8F6932A17DC6075313C00009BB2C35F7125E813~plVOzXh8ck2gCoJqvIxT3uZPH2UPysyjq+QdAiaJeZHp7yoiXA18RURHhB9tu4KKN0doBL6nGZ2lM9fpuarrIc2GV4BNOGY9S4LmIv7e6atdwNbwhg2c1v4yp/b1g/syanI9HF/EU4o4vUY4kt709RwDjd9sRrVHwinlLRrPWdstJ1ALNFzZItV7Ctu5Zrti5eQIj3f1rIs7aTJdqd1WeNIjrOmA5crErJXqWF8xqx/5Q=; expires=Sun, 29 Nov 2020 16:39:23 GMT; max-age=7200; path=/; domain=.accuweather.com; HttpOnly\nbm_mi=07933A74CCA4392EBB6F6FAF9D26483E~vDQQzEvphU7i2sKQWRuevAlsvDZpdRR2crIkWsYPeVRCDh9674zT5dAjOdCjCpiiFb6Ojp45zEV/jl9U4SOhMyP39RUCvtyB+NvrfZ5x8NmujY3vx6alOepLP8hLG4ByikHJdEp5dCqhXP9td7JRvDO3dnEdTxa2GRTep5tUHj14Bzs7ETSuojtSGzrKcLFozH0UaLYyncmxF+1vQUiAt9LiD2A2ev+BcdcH1QUjfJk=; Domain=.accuweather.com; Path=/; Max-Age=0; HttpOnly""],[""server-timing"",""cdn-cache; desc=MISS, edge; dur=31, origin; dur=167""],[""Link"",""<https://www.accuweather.com/fonts/solis-regular.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin,<https://www.accuweather.com/fonts/solis-medium.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin,<https://www.accuweather.com/fonts/solis-bold.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin, <https://securepubads.g.doubleclick.net>;rel=\""preconnect\"",<https://www.google-analytics.com>;rel=\""preconnect\"",<https://sb.scorecardresearch.com>;rel=\""preconnect\"",<https://js-sec.indexww.com>;rel=\""preconnect\"",<https://fastlane.rubiconproject.com>;rel=\""preconnect\"",<https://cms.accuweather.com>;rel=\""preconnect\"",<https://static.criteo.net>;rel=\""preconnect\"",<https://adservice.google.com>;rel=\""preconnect\""""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{5aa4fab2-504f-4448-b560-366344e462b3},,2020-11-29T14:39:23.220Z,
1,2,1,1,https://www.accuweather.com/advertisement.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""Accept-Ranges"",""bytes""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""\""1d67d461bb46c1c\""""],[""Last-Modified"",""Mon, 31 Aug 2020 05:21:37 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""32""],[""Cache-Control"",""public, max-age=23726550""],[""Expires"",""Tue, 31 Aug 2021 05:21:52 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:22 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{1e9d5d22-ed4f-47c8-8c74-43b250ff1003},,2020-11-29T14:39:24.658Z,
2,3,1,1,https://js-sec.indexww.com/ht/p/185017-157706232597250.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Server"",""Apache""],[""Last-Modified"",""Sun, 29 Nov 2020 13:51:40 GMT""],[""Etag"",""\""da0f3d-994b-5b53f316b803b\""""],[""Accept-Ranges"",""bytes""],[""P3P"",""policyref=\""/w3c/p3p.xml\"", CP=\""NOI DSP COR DEVa TAIa OUR BUS UNI\""""],[""Content-Type"",""text/javascript""],[""Vary"",""Accept-Encoding""],[""Content-Encoding"",""gzip""],[""Cache-Control"",""max-age=976""],[""Expires"",""Sun, 29 Nov 2020 14:55:39 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""Content-Length"",""13228""],[""Connection"",""keep-alive""]]",{48b6ea39-9912-4111-8821-1d9814d92b72},,2020-11-29T14:39:24.662Z,
3,4,1,1,https://www.accuweather.com/bundles/prebid.ea0862eadfed3f311320.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdcf132\""""],[""Last-Modified"",""Tue, 17 Nov 2020 18:26:21 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""68020""],[""Cache-Control"",""public, max-age=30512820""],[""Expires"",""Wed, 17 Nov 2021 18:26:23 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{2277cc22-d2db-4be7-a0e6-714ec300bb47},,2020-11-29T14:39:24.676Z,
4,5,1,1,https://securepubads.g.doubleclick.net/tag/js/gpt.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Vary"",""Accept-Encoding""],[""Content-Encoding"",""gzip""],[""Content-Type"",""text/javascript""],[""timing-allow-origin"",""*""],[""Content-Length"",""18517""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""Expires"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""Cache-Control"",""private, max-age=900, stale-while-revalidate=3600""],[""Etag"",""\""708 / 636 of 1000 / last-modified: 1606134211\""""],[""X-Content-Type-Options"",""nosniff""],[""Server"",""sffe""],[""x-xss-protection"",""0""],[""Alt-Svc"",""h3-29=\"":443\""; ma=2592000,h3-T051=\"":443\""; ma=2592000,h3-Q050=\"":443\""; ma=2592000,h3-Q046=\"":443\""; ma=2592000,h3-Q043=\"":443\""; ma=2592000,quic=\"":443\""; ma=2592000; v=\""46,43\""""],[""X-Firefox-Spdy"",""h2""]]",{22ceccb6-3a65-42b2-b44a-f8f4b8224a6d},,2020-11-29T14:39:24.684Z,
5,6,1,1,https://www.accuweather.com/bundles/ad-manager.6a173fc24dfdf40d06fb.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdf90e9\""""],[""Last-Modified"",""Tue, 17 Nov 2020 20:53:41 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""11571""],[""Cache-Control"",""public, max-age=30521671""],[""Expires"",""Wed, 17 Nov 2021 20:53:54 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{b9b59d0d-efc1-4f42-b981-510c82031199},,2020-11-29T14:39:24.688Z,
6,7,1,1,https://www.accuweather.com/bundles/home.home.417bf1974b7f3a1001ea.css,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""text/css""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdee70e\""""],[""Last-Modified"",""Tue, 17 Nov 2020 21:32:35 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""13789""],[""Cache-Control"",""public, max-age=30524025""],[""Expires"",""Wed, 17 Nov 2021 21:33:07 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:22 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{5244228b-178e-4b51-bd9c-538c73abaf65},,2020-11-29T14:39:24.690Z,
7,8,1,1,https://www.accuweather.com/bundles/1.ead68340afe4e7b2f32e.css,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""text/css""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d64eee3016edc1\""""],[""Last-Modified"",""Tue, 30 Jun 2020 15:58:00 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""121""],[""Cache-Control"",""public, max-age=18408034""],[""Expires"",""Wed, 30 Jun 2021 15:59:56 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:22 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{3267343c-44b6-456d-b1ee-c65b7cae3925},,2020-11-29T14:39:24.704Z,
8,9,1,1,https://www.accuweather.com/akam/11/7aab51ff,GET,https://www.accuweather.com/,200,OK,0,"[[""Last-Modified"",""Thu, 02 May 2019 20:02:46 GMT""],[""Etag"",""\""2d56dcc4f3435004bf095bfa4d9187732c5aa1d83bbc21ab85fe9f7ef178cef3\""""],[""Content-Type"",""application/javascript""],[""Content-Encoding"",""gzip""],[""Content-Length"",""10441""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""Vary"",""Accept-Encoding""],[""Set-Cookie"",""ak_bmsc=7441CB54EE754154982473E3B8F6932A17DC6075313C00009BB2C35F7125E813~plloDfl6L3L9qUDSXLuFOCBxbHxODVyTZ80wnr6DUmr2Tn8BcM+/zYRkfnpweCGr5a94fZP5VTOqWW9YpvkUwiRIFeOABfS+ELt367VEYVkt92tKK/o2BzZaE+qmL/mOn5Zt+YyiEq+mHWT9aKVlzQTwbIABNNBmBSVTesW9HWy1WtukYY7MEL11VBjzRBVikFi+vWbg5wHgy6qxP9NQn0NGEvfT8qjqTLbJk2KxRnJgihXMYP1uTNSfnQwLX3AB/hsGCUxsbsSleeCe4Cvew0ZE+Ruc+0d7tryzHuDnuopOr8SBevYiGB+9hi5za3O1WdwXe7pVl3H2HkPyUkfMC0iQ==; expires=Sun, 29 Nov 2020 16:39:23 GMT; max-age=7200; path=/; domain=.accuweather.com; HttpOnly""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{899c0e5c-ef4b-49df-ab9e-2d950a9dfb61},,2020-11-29T14:39:24.704Z,
9,10,1,1,https://www.accuweather.com/images/icons/orange-tick.svg,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""image/svg+xml""],[""Last-Modified"",""Tue, 17 Nov 2020 18:03:46 GMT""],[""Etag"",""W/\""1d6bd0bfe22ef84\""""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Content-Encoding"",""gzip""],[""Content-Length"",""359""],[""Cache-Control"",""public, max-age=569867""],[""Expires"",""Sun, 06 Dec 2020 04:57:10 GMT""],[""Date"",""Sun, 29 Nov 2020 14:39:23 GMT""],[""Vary"",""Accept-Encoding""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{ddf22af8-dff2-4070-a249-56af79466ce3},,2020-11-29T14:39:24.706Z,
