index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{0e9d2e90-347d-4f96-b060-93026ad2df9e},{6b9a4640-2547-4599-b403-6a2b483af0e6},1,0,0,0,2020-11-29T14:48:10.234Z
1,2,1,1,{9386f98b-c013-481c-9732-0c696053e8fd},{5bb2f6d5-512d-4257-bbd5-b122ca8180f0},1,0,0,0,2020-11-29T14:48:10.330Z
2,3,1,1,{3a54ea6b-499d-4e42-a088-bd417e40a140},{ea9ab231-0990-406c-abf9-320cb9f1fd1d},1,0,0,0,2020-11-29T14:48:10.332Z
3,4,1,1,{82fac16f-600a-473d-9f00-706c777b9ec8},{45139568-e7b2-4b5b-b019-19deddaf7cd7},1,0,0,0,2020-11-29T14:48:10.332Z
4,5,1,1,{e6f17897-c0bd-4bd7-a532-7ca05c9ea6ac},{b29255c9-2fa6-4132-b721-e88d875852fc},1,0,0,0,2020-11-29T14:48:10.332Z
5,6,1,1,{de0670c4-53eb-48a4-8fa5-14fa2024cbac},{7f2afd11-2d22-4217-a18c-8bdd04f51d1d},1,0,0,0,2020-11-29T14:48:10.334Z
6,7,1,1,{9d7cf5fe-ad0f-4b49-9d94-8848fb57bbc9},{b5471e4d-e50b-4e63-a978-f8d5ff07a1ac},1,0,0,0,2020-11-29T14:48:10.334Z
7,8,1,1,{59a23c68-ab87-4f43-b282-e0b4eee5b94f},{30550cec-3bba-4296-af58-4d0029ed474f},1,0,0,0,2020-11-29T14:48:10.334Z
8,9,1,1,{cd6db2a4-ab86-4fd6-90e5-486b18d350ce},{a60797d7-84d6-482a-81ee-f9283362622e},1,0,0,0,2020-11-29T14:48:10.338Z
9,10,1,1,{81bb4337-a5b9-4f56-814d-fb720fafce62},{b32dc600-56a7-4ace-8494-fc0284570979},1,0,0,0,2020-11-29T14:48:10.350Z
10,11,1,1,{502d3f9b-b5dd-46af-acbd-972631bc72a3},{2c54e306-220b-47ed-892a-70d606f0f182},1,0,0,0,2020-11-29T14:48:10.352Z
11,12,1,1,{e0ffd356-00cf-401a-b464-07f3b6f4ea9d},{ddaa55d5-f987-4828-a800-5eabcc81225b},1,0,0,0,2020-11-29T14:48:10.448Z
12,13,1,1,{95f4457b-3426-499a-bed3-ccf9885af36d},{d95fc580-5b83-41e1-905b-20d4ebe72927},1,0,0,0,2020-11-29T14:48:10.566Z
13,14,1,1,{6b73f6f1-5df0-4699-a4bb-8aa19e3bc056},{2e2d7adf-6e95-41a9-ab88-4f2142c86f4f},1,0,0,0,2020-11-29T14:48:10.568Z
14,15,1,1,{c52d762b-de69-4abc-bd27-0bf4ec1dca97},{a7fb477e-7ca0-42b7-8883-cce4b6bbf4c0},1,0,0,0,2020-11-29T14:48:12.386Z
15,16,1,1,{226ffcdb-0fea-4a13-aa1b-46725074ef7c},{aabd689a-a00e-47b7-ab1c-754c82c90af7},0,1,0,0,2020-11-29T14:48:12.414Z
16,17,1,1,{9108069e-ed9b-4f10-90d4-ab092e729084},{90fe07df-6e3a-4b73-8766-e57006ac5851},1,0,0,0,2020-11-29T14:48:13.412Z
17,18,1,1,{faf70a29-34d1-439f-b898-43e5c29c8fdb},{10bab879-fe9f-45c6-825e-872127bd8868},1,0,0,0,2020-11-29T14:48:14.584Z
