index,id,crawl_id,visit_id,url,method,referrer,response_status,response_status_text,is_cached,headers,channel_id,location,time_stamp,content_hash
0,1,1,1,https://www.accuweather.com/,GET,,200,OK,0,"[[""Content-Type"",""text/html; charset=utf-8""],[""Cache-Control"",""no-store,no-cache""],[""Pragma"",""no-cache""],[""Content-Encoding"",""gzip""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""x-akamai-transformed"",""9 29726 0 pmb=mTOE,2mRUM,3""],[""Date"",""Sun, 29 Nov 2020 14:48:08 GMT""],[""Content-Length"",""27517""],[""Vary"",""Accept-Encoding""],[""Set-Cookie"",""awx_session_essential=%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D; expires=Sun, 29 Nov 2020 14:58:08 GMT; path=/; samesite=lax\nAKA_A2=A; expires=Sun, 29-Nov-2020 15:48:08 GMT; path=/; domain=accuweather.com; secure; HttpOnly\nak_bmsc=B58B63D02126558C64F14B004BCADC0AB81B7836AA1E0000A8B4C35FAA10AA0C~plJ+JOkJSiwqMf630BlA+Cm/ULyOAoa/EYzVAlLt5NSOmRsOBL3JVu39eggtViG+fQuKG1Zn2d0SnRBdPL9JC0dLWqe4smWbSZISVLqZJ//83Z+0/C0mF7ZNOtUvq6piAfzoNxVjS+VLMGpTBtd/VaAWCVXl+IU9GYSzrrlmoNPBJ8c6HLbbAyB6oll7W3Ht9nF6/DOiee5rmzXZdmJn835scCR0rvTlIxqvuEmXiYlLM=; expires=Sun, 29 Nov 2020 16:48:08 GMT; max-age=7200; path=/; domain=.accuweather.com; HttpOnly\nbm_mi=B30E1544E6C47811D059A04F27525DCB~Fa9gcjlKtJTMcmHRlGwVuU/LulsVJJWaQ2b2+GulVeOnZuMLj5VkHPoWHzmf822Kpz8xpwTR4Vqerntk+EkIqjtREZGnZaOFyoJC0eVaPhK2LfaqppxFYTyHH2h8vZkB5/5M6WnBrYBFBvp9Fz8lhojZm2zzo0o5s5dtpN/tVPzC4StExsxadwBrRKUr2AXARl5q4rO/HGzg6sB6pOH+08w1Ahwm8Gm46Wr+5wVTTJU=; Domain=.accuweather.com; Path=/; Max-Age=0; HttpOnly""],[""server-timing"",""cdn-cache; desc=MISS, edge; dur=22, origin; dur=58""],[""Link"",""<https://www.accuweather.com/fonts/solis-regular.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin,<https://www.accuweather.com/fonts/solis-medium.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin,<https://www.accuweather.com/fonts/solis-bold.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin, <https://securepubads.g.doubleclick.net>;rel=\""preconnect\"",<https://www.google-analytics.com>;rel=\""preconnect\"",<https://sb.scorecardresearch.com>;rel=\""preconnect\"",<https://js-sec.indexww.com>;rel=\""preconnect\"",<https://fastlane.rubiconproject.com>;rel=\""preconnect\"",<https://cms.accuweather.com>;rel=\""preconnect\"",<https://static.criteo.net>;rel=\""preconnect\"",<https://adservice.google.com>;rel=\""preconnect\""""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{89496156-ccc4-46d7-98a7-e8e952bc82c4},,2020-11-29T14:48:09.108Z,
1,2,1,1,https://www.accuweather.com/advertisement.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""Accept-Ranges"",""bytes""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""\""1d698273425141c\""""],[""Last-Modified"",""Mon, 05 Oct 2020 00:19:05 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""32""],[""Cache-Control"",""public, max-age=26731948""],[""Expires"",""Tue, 05 Oct 2021 00:20:36 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:08 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{4ef8fb93-0814-457e-83f1-e0546b1f58ab},,2020-11-29T14:48:09.278Z,
2,3,1,1,https://www.accuweather.com/bundles/home.home.417bf1974b7f3a1001ea.css,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""text/css""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdee70e\""""],[""Last-Modified"",""Tue, 17 Nov 2020 21:32:35 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""13789""],[""Cache-Control"",""public, max-age=30523499""],[""Expires"",""Wed, 17 Nov 2021 21:33:07 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:08 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{22b89364-54fe-4fe1-b23d-14007f65bbc9},,2020-11-29T14:48:09.280Z,
3,4,1,1,https://www.accuweather.com/bundles/1.ead68340afe4e7b2f32e.css,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""text/css""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d64eee3016edc1\""""],[""Last-Modified"",""Tue, 30 Jun 2020 15:58:00 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""121""],[""Cache-Control"",""public, max-age=18407527""],[""Expires"",""Wed, 30 Jun 2021 16:00:15 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:08 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{46d56438-7794-4680-a87f-f67fd48326fa},,2020-11-29T14:48:09.294Z,
4,5,1,1,https://www.accuweather.com/bundles/prebid.ea0862eadfed3f311320.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdcf132\""""],[""Last-Modified"",""Tue, 17 Nov 2020 18:26:21 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""68020""],[""Cache-Control"",""public, max-age=30512238""],[""Expires"",""Wed, 17 Nov 2021 18:25:27 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:09 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{e13f58b8-f4c9-4eee-9b5d-16fd8c68536d},,2020-11-29T14:48:09.318Z,
5,6,1,1,https://www.accuweather.com/bundles/ad-manager.6a173fc24dfdf40d06fb.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdf90e9\""""],[""Last-Modified"",""Tue, 17 Nov 2020 20:53:41 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""11571""],[""Cache-Control"",""public, max-age=30521154""],[""Expires"",""Wed, 17 Nov 2021 20:54:03 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:09 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{23e37229-9ecc-48dd-80f8-5d7ba79b2f86},,2020-11-29T14:48:09.504Z,
6,7,1,1,https://www.accuweather.com/akam/11/7aab51ff,GET,https://www.accuweather.com/,200,OK,0,"[[""Last-Modified"",""Thu, 02 May 2019 20:02:46 GMT""],[""Etag"",""\""2d56dcc4f3435004bf095bfa4d9187732c5aa1d83bbc21ab85fe9f7ef178cef3\""""],[""Content-Type"",""application/javascript""],[""Content-Encoding"",""gzip""],[""Content-Length"",""10441""],[""Date"",""Sun, 29 Nov 2020 14:48:09 GMT""],[""Vary"",""Accept-Encoding""],[""Set-Cookie"",""ak_bmsc=B58B63D02126558C64F14B004BCADC0AB81B7836AA1E0000A8B4C35FAA10AA0C~pl8Pp6wUXa3PZmJJyJr9IitP7T35hk/5/0F42Rrp/Ad/SLr5iH6yB0Xrp/+mBE9rNVHDjYtCxINH3TCWy14Y8meEdif/KE9mhmcjTDd/KbleQO+wHPvzP1qMJTGorYrGPz5Ptw3CZ3d9TRdNlJL/RDfmhc/4rsomUDPrtqYHRBfmvCKFULlIFDL+lzwQs9DXDN8RBZB6nqW9m+OVo4l2cQYrLOiBRnLF/WgjIVFb7Vbtg3UUzeRZyNw/DOWf6YwGlQaOkXKpahFpgnIN26jpy88twNFU/Iv9xdjUsq8Yz25NtwJU5umsoPl73W0yt2FRYklavBE89EMo5E/tIgkMoKmg==; expires=Sun, 29 Nov 2020 16:48:08 GMT; max-age=7199; path=/; domain=.accuweather.com; HttpOnly""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{fe8df17c-09f5-4d1d-b959-4a8ef65385c4},,2020-11-29T14:48:09.694Z,
7,8,1,1,https://static.chartbeat.com/js/chartbeat.js,GET,https://www.accuweather.com/,401,Unauthorized,0,"[[""Server"",""BaseHTTP/0.6 Python/3.6.9""],[""Date"",""Sun, 29 Nov 2020 14:48:09 GMT""],[""WWW-Authenticate"",""Basic realm=\""\""""],[""Content-Type"",""text/html""]]",{c0645221-6508-40fb-9724-9cbe0ac5b52e},,2020-11-29T14:48:09.788Z,
8,9,1,1,https://www.accuweather.com/bundles/home.home.d1aea75d659f9c56d087.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdfce44\""""],[""Last-Modified"",""Tue, 17 Nov 2020 21:46:14 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""13304""],[""Cache-Control"",""public, max-age=30524291""],[""Expires"",""Wed, 17 Nov 2021 21:46:20 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:09 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{6b19ea80-9618-42dd-8900-8142ea0e16b2},,2020-11-29T14:48:09.800Z,
9,10,1,1,https://www.accuweather.com/bundles/1.6a1b073d8c283ee2042c.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6b1fa1538acca\""""],[""Last-Modified"",""Tue, 03 Nov 2020 20:54:35 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""4398""],[""Cache-Control"",""public, max-age=29311553""],[""Expires"",""Wed, 03 Nov 2021 20:54:02 GMT""],[""Date"",""Sun, 29 Nov 2020 14:48:09 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{671d31fa-a400-4cb0-ba17-af96c04a32a6},,2020-11-29T14:48:09.804Z,
