index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:30:12,2020-11-29 09:40:12,0,0,2020-11-29 09:30:12,www.accuweather.com,1606660812,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:30:12,2020-11-29 10:30:12,1,0,2020-11-29 09:30:12,accuweather.com,1606663812,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:30:12,2020-11-29 11:30:12,1,0,2020-11-29 09:30:12,accuweather.com,1606667412,.accuweather.com,1,0,ak_bmsc,/,0,0,F2D477EF7CA293D390319A4D5D310221B81B7836AA1E000074B0C35FC7E00F2A~plq68AQtN5yLqvYhK+Hy297CQLSkLZtHRbNLWCp6H9w2d1MV33RqGGN7Qb4F20dq8kyUo3RZ90lw//CpD+Ir7DPvtK5yLMJPPLmbQeM4Tp4LMyF4TfpxNhcx+drSowHUrB/arW+fBh+IaPfnhvtTzi5H4EgrNWRQB8qImTYNfm2pYGX841hPeIHWQQJ8TKFUPy9k0d3NV8OwUYgLXKtXDyfrIJqE5TtYKRwOEoDI3R+20=
3,4,1,1,changed,2020-11-29 09:30:12,2020-11-29 11:30:13,1,0,2020-11-29 09:30:13,accuweather.com,1606667413,.accuweather.com,1,0,ak_bmsc,/,0,0,F2D477EF7CA293D390319A4D5D310221B81B7836AA1E000074B0C35FC7E00F2A~pl5aPxNuXrpb3mF4yqrXiMAC9NvalpMBGPpYw2IRUhj0Km3yHVyxqyjhXSdVq/xOtzFlv/12/5fxxRXf5qEOU33fSK8B9SRUYGa7EpwyrFXhSL0dPEGdmiiqUo/fKWc+wpJ1BSBMkh3HZDbHO0Dd6oPYTvLQ+PCGCFoVxcz1L+To00v0xdwudiMVVE+lcLtxiIg8tA0CxfjYHKGQQtNjhRjfnGqds66PfAjhEgTGqjsfx2ZK72bZ3DQ4EeZ6+4GZQ2TmBKXYdE+1bMcYIKx2jhYbrkjSj+6lx2j7Y+fX01UTjQ+Qv4hoiltIH5hx4i2+W3ynO3/x0fmEhohNo1etKShQ==
4,5,1,1,added,2020-11-29 09:30:13,2020-11-29 09:45:12,0,0,2020-11-29 09:30:13,doubleclick.net,1606661112,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
5,6,1,1,added,2020-11-29 09:30:13,2021-12-29 09:30:13,0,0,2020-11-29 09:30:13,www.accuweather.com,1640788213,www.accuweather.com,0,0,_cb_ls,/,0,0,1
6,7,1,1,added,2020-11-29 09:30:13,2021-12-29 09:30:13,0,0,2020-11-29 09:30:13,www.accuweather.com,1640788213,www.accuweather.com,0,0,_cb,/,0,0,B5Z56eBZWCBJDUB72V
7,8,1,1,added,2020-11-29 09:30:13,2021-12-29 09:30:13,0,0,2020-11-29 09:30:13,www.accuweather.com,1640788213,www.accuweather.com,0,0,_chartbeat2,/,0,0,.1606660213482.1606660213482.1.CgPbAUBXQOtvBh2JtK2-RPoDgDRtA.1
8,9,1,1,added,2020-11-29 09:30:13,2020-11-29 10:00:13,0,0,2020-11-29 09:30:13,www.accuweather.com,1606662013,www.accuweather.com,0,0,_cb_svref,/,0,0,null
9,10,1,1,added,2020-11-29 09:30:13,2021-11-29 09:30:13,0,0,2020-11-29 09:30:13,www.accuweather.com,1638196213,www.accuweather.com,0,0,_pubcid,/,0,0,732aafa6-e865-4781-9c5b-e6282c0ce123
10,11,1,1,added,2020-11-29 09:30:13,2021-11-29 09:30:13,0,0,2020-11-29 09:30:13,www.accuweather.com,1638196213,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606660212281%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606660213964%2C%22loc%22:1606660213000%2C%22cond%22:1606660213966}}}%2C%22cDate%22:%222020-11-29%22}
