index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{3acee9bb-02a0-4d2e-8aa0-68f1382534ff},{aff5f15c-79d6-4016-b8c8-06d14b8910af},1,0,0,0,2020-11-29T14:48:08.526Z
1,2,1,1,{43ebfa63-9af1-4fde-9662-fed811e3cdb9},{ad871192-9528-46b8-8fd1-7eda2db736da},1,0,0,0,2020-11-29T14:48:08.526Z
2,3,1,1,{ea34833d-5914-4074-9839-8606fa600003},{2d9011d4-6ad3-4565-b92e-08404e2257ca},1,0,0,0,2020-11-29T14:48:08.530Z
3,4,1,1,{eaac5a17-d537-48b8-90e9-f54fce1a63fa},{aa230f34-4d13-4f79-a34a-6f5b721a1ec5},1,0,0,0,2020-11-29T14:48:08.530Z
4,5,1,1,{ffaacf00-8adf-44f9-aaa1-9a0993e56487},{972710fa-0b35-4134-b0f6-469ccde82fd5},1,0,0,0,2020-11-29T14:48:08.530Z
5,6,1,1,{76a53073-69a2-410d-94e6-b17a4aa88ff2},{9f1bf333-b525-49b5-a107-0d568ccf7684},1,0,0,0,2020-11-29T14:48:08.530Z
6,7,1,1,{4e560111-178f-4f58-a736-143557173e11},{1fe17cd6-fde1-4331-9f8e-63f1f05fd85e},1,0,0,0,2020-11-29T14:48:08.530Z
7,8,1,1,{e467d13b-be33-4aa1-a8a9-9002b86f2f54},{c5ace069-6871-4d8c-80ce-95e6f379a8da},1,0,0,0,2020-11-29T14:48:08.532Z
8,9,1,1,{f329c4ae-f1d1-4068-a0bd-7e718e2ed9b0},{278fee99-cb89-4384-a412-1eb372f826f6},1,0,0,0,2020-11-29T14:48:08.560Z
9,10,1,1,{0d3d3202-5471-4337-a635-9266a8cd041b},{6ce6d6d7-4e09-438e-8e0b-88976250ea5b},1,0,0,0,2020-11-29T14:48:08.562Z
10,11,1,1,{2c40d176-25ea-4728-b44e-86ef1bab8860},{96da49e1-0643-41fa-b396-33fc9d505c87},1,0,0,0,2020-11-29T14:48:08.580Z
11,12,1,1,{a6b2f1f6-83e2-410f-a608-17ad3d2de887},{73063e1a-3dcd-42a6-a84b-71a502312f96},1,0,0,0,2020-11-29T14:48:08.650Z
