index,id,crawl_id,visit_id,url,method,referrer,response_status,response_status_text,is_cached,headers,channel_id,location,time_stamp,content_hash
0,1,1,1,https://www.accuweather.com/,GET,,200,OK,0,"[[""Content-Type"",""text/html; charset=utf-8""],[""Cache-Control"",""no-store,no-cache""],[""Pragma"",""no-cache""],[""Content-Encoding"",""gzip""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""x-akamai-transformed"",""9 35056 0 pmb=mTOE,2mRUM,3""],[""Date"",""Sun, 29 Nov 2020 14:21:20 GMT""],[""Content-Length"",""32064""],[""Vary"",""Accept-Encoding""],[""Set-Cookie"",""awx_session_essential=%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D; expires=Sun, 29 Nov 2020 14:31:20 GMT; path=/; samesite=lax\nAKA_A2=A; expires=Sun, 29-Nov-2020 15:21:20 GMT; path=/; domain=accuweather.com; secure; HttpOnly\nak_bmsc=5BFCEEE8D74E594B434DB87794FF3564B81B7843661A000060AEC35F0B5FB94D~plwX8rKBTh+s/4OGu3rI3hXnwCBbJI2yc30TfJLoTT5tkuVY2aaILTVB6zuZigcYO5vFv5XPtBl6QporytvtnprMrhSSGll643Kk5Q6V2jJQQ4qqaS5XGUrj9TCYTAUUX9ZRcvBo1CkGn56ycReBImtdnjzXsN+mGpLjM86SoDpBKwqbogGsH0kE//Spy64LKoGWLjFxNWrw6piDcgMdHCiGpW6eSuB180m9J+8K/QcfU=; expires=Sun, 29 Nov 2020 16:21:20 GMT; max-age=7200; path=/; domain=.accuweather.com; HttpOnly\nbm_mi=DE7EB2FE41790B11E4A620605B102CEA~AWRWH9WfU9XmOtPzWrg9H2M+VTpyKlP4WAiZCVu/dZmwgatwH9fcxOg4MGz3nCdlznIVpCuAfgqASizFp+Du/GybFXMcdzF3iexPBNuFWuvx9WESYzyxXF2P5iSCxFbS2NDm2D5JBOMAzKuCvT2a7Jk2T9SzstWKCcrnIeeRTpN4ERZjVeHiphazm4Afan5Jn3u7GibVgUpq8WbWFhoQ54mFfsbdMxFoSPiydj4c03U=; Domain=.accuweather.com; Path=/; Max-Age=0; HttpOnly""],[""server-timing"",""cdn-cache; desc=MISS, edge; dur=31, origin; dur=163""],[""Link"",""<https://www.accuweather.com/fonts/solis-regular.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin,<https://www.accuweather.com/fonts/solis-medium.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin,<https://www.accuweather.com/fonts/solis-bold.woff>;rel=\""preload\"";as=\""font\"";type=\""font/woff\"";crossorigin, <https://securepubads.g.doubleclick.net>;rel=\""preconnect\"",<https://www.google-analytics.com>;rel=\""preconnect\"",<https://sb.scorecardresearch.com>;rel=\""preconnect\"",<https://js-sec.indexww.com>;rel=\""preconnect\"",<https://fastlane.rubiconproject.com>;rel=\""preconnect\"",<https://cms.accuweather.com>;rel=\""preconnect\"",<https://static.criteo.net>;rel=\""preconnect\"",<https://adservice.google.com>;rel=\""preconnect\""""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{6fa2fcd2-770f-4202-bbeb-069cfe2d0bfb},,2020-11-29T14:21:22.090Z,
1,2,1,1,https://www.accuweather.com/advertisement.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""Accept-Ranges"",""bytes""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""\""1d67d461bb46c1c\""""],[""Last-Modified"",""Sun, 06 Sep 2020 14:09:37 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""32""],[""Cache-Control"",""public, max-age=24277705""],[""Expires"",""Mon, 06 Sep 2021 14:09:45 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:20 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{8a73f2d1-4c39-47d3-bbc2-efebc38b65a6},,2020-11-29T14:21:22.208Z,
2,3,1,1,https://www.accuweather.com/bundles/home.home.417bf1974b7f3a1001ea.css,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""text/css""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdee70e\""""],[""Last-Modified"",""Tue, 17 Nov 2020 21:32:35 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""13789""],[""Cache-Control"",""public, max-age=30525054""],[""Expires"",""Wed, 17 Nov 2021 21:32:14 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:20 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{2a5ff2e8-e7e5-4e3b-91a0-ba7f1f0d4ab5},,2020-11-29T14:21:22.210Z,
3,4,1,1,https://www.accuweather.com/bundles/1.ead68340afe4e7b2f32e.css,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""text/css""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6982823c16841\""""],[""Last-Modified"",""Mon, 05 Oct 2020 14:14:03 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""121""],[""Cache-Control"",""public, max-age=26783535""],[""Expires"",""Tue, 05 Oct 2021 14:13:35 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:20 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""x-akamai-http2-push"",""1""],[""X-Firefox-Spdy"",""h2""]]",{84556d44-0986-40ae-a344-a6e6e881930f},,2020-11-29T14:21:22.220Z,
4,5,1,1,https://www.accuweather.com/bundles/prebid.ea0862eadfed3f311320.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdcf132\""""],[""Last-Modified"",""Tue, 17 Nov 2020 18:26:21 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""68020""],[""Cache-Control"",""public, max-age=30513900""],[""Expires"",""Wed, 17 Nov 2021 18:26:22 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:22 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{b659b85d-3182-4a6e-b068-3bc460713936},,2020-11-29T14:21:22.238Z,
5,6,1,1,https://www.accuweather.com/bundles/ad-manager.6a173fc24dfdf40d06fb.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdf90e9\""""],[""Last-Modified"",""Tue, 17 Nov 2020 20:53:41 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""11571""],[""Cache-Control"",""public, max-age=30522680""],[""Expires"",""Wed, 17 Nov 2021 20:52:42 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:22 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{a9239ce1-035c-47a5-bfb5-f86ffae616a8},,2020-11-29T14:21:22.360Z,
6,7,1,1,https://www.accuweather.com/akam/11/7aab51ff,GET,https://www.accuweather.com/,200,OK,0,"[[""Last-Modified"",""Thu, 02 May 2019 20:02:46 GMT""],[""Etag"",""\""2d56dcc4f3435004bf095bfa4d9187732c5aa1d83bbc21ab85fe9f7ef178cef3\""""],[""Content-Type"",""application/javascript""],[""Content-Encoding"",""gzip""],[""Content-Length"",""10441""],[""Date"",""Sun, 29 Nov 2020 14:21:22 GMT""],[""Vary"",""Accept-Encoding""],[""Set-Cookie"",""ak_bmsc=5BFCEEE8D74E594B434DB87794FF3564B81B7843661A000060AEC35F0B5FB94D~plqv/UPb6GB2qpVYtBiCCk+XkZN54211hE48lnJg+bMawTC7FBFzjPNQNU/1BrCm9BKPz6Iak28EhaEysajlzHCUQXRYIVQPnhvui8mWGQebBPAjVimpdMHTpmzh0jP0vgOV9I6sVrkSCNz9woVu7xTcv0LfmetU0PfM8EqHRkjK3q5h9IAJjIfYb86ccooaXNpi7Pn0nggyUlSuAyq++26xG6WKTRxoz1T0YUu8XTYPWuTaFUuZcxlNcjju3UXinTkvbckaItyQ6DRCR3TdOVZpFMQFlYkzSXj8KZTOHSg3spXQgBm7kNU58iYamfqYf4yfJxc6EHyvakudjjTHlpcA==; expires=Sun, 29 Nov 2020 16:21:20 GMT; max-age=7198; path=/; domain=.accuweather.com; HttpOnly""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{ca27e7aa-b71e-46b8-a54f-cf677f1727b3},,2020-11-29T14:21:22.364Z,
7,8,1,1,https://www.accuweather.com/images/icons/orange-tick.svg,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""image/svg+xml""],[""Last-Modified"",""Tue, 17 Nov 2020 18:03:46 GMT""],[""Etag"",""W/\""1d6bd0bfe22ef84\""""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Content-Encoding"",""gzip""],[""Content-Length"",""359""],[""Cache-Control"",""public, max-age=570912""],[""Expires"",""Sun, 06 Dec 2020 04:56:34 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:22 GMT""],[""Vary"",""Accept-Encoding""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{19fcb120-afd1-4636-a55b-9fceb98b2f55},,2020-11-29T14:21:22.464Z,
8,9,1,1,https://www.accuweather.com/bundles/home.home.d1aea75d659f9c56d087.js,GET,https://www.accuweather.com/,200,OK,0,"[[""Content-Type"",""application/javascript""],[""access-control-allow-credentials"",""true""],[""access-control-allow-headers"",""Content-Type, X-CSRF-Token, X-Requested-With, Accept, Accept-Version, Content-Length, Content-MD5, Date, X-Api-Version, X-File-Name""],[""access-control-allow-methods"",""POST,GET,PUT,PATCH,DELETE,OPTIONS""],[""Access-Control-Allow-Origin"",""*""],[""Content-Encoding"",""br""],[""Etag"",""W/\""1d6bd0cbcdfce44\""""],[""Last-Modified"",""Tue, 17 Nov 2020 21:46:14 GMT""],[""request-context"",""appId=cid-v1:69db91ae-4014-4da6-962b-6e1205fccce5""],[""Server"",""Akamai Resource Optimizer""],[""Content-Length"",""13304""],[""Cache-Control"",""public, max-age=30525872""],[""Expires"",""Wed, 17 Nov 2021 21:45:54 GMT""],[""Date"",""Sun, 29 Nov 2020 14:21:22 GMT""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""strict-transport-security"",""max-age=15768000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",{ab87e948-089a-403b-85f7-c96bef40ef24},,2020-11-29T14:21:22.468Z,
9,10,1,1,https://static.chartbeat.com/js/chartbeat_video.js,GET,https://www.accuweather.com/,401,Unauthorized,0,"[[""Server"",""BaseHTTP/0.6 Python/3.6.9""],[""Date"",""Sun, 29 Nov 2020 14:21:22 GMT""],[""WWW-Authenticate"",""Basic realm=\""\""""],[""Content-Type"",""text/html""]]",{59778f71-aa1f-4351-bf5f-6087185add3a},,2020-11-29T14:21:22.470Z,
