index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:21:22,2020-11-29 09:31:20,0,0,2020-11-29 09:21:22,www.accuweather.com,1606660280,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:21:22,2020-11-29 10:21:20,1,0,2020-11-29 09:21:22,accuweather.com,1606663280,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:21:22,2020-11-29 11:21:22,1,0,2020-11-29 09:21:22,accuweather.com,1606666882,.accuweather.com,1,0,ak_bmsc,/,0,0,5BFCEEE8D74E594B434DB87794FF3564B81B7843661A000060AEC35F0B5FB94D~plwX8rKBTh+s/4OGu3rI3hXnwCBbJI2yc30TfJLoTT5tkuVY2aaILTVB6zuZigcYO5vFv5XPtBl6QporytvtnprMrhSSGll643Kk5Q6V2jJQQ4qqaS5XGUrj9TCYTAUUX9ZRcvBo1CkGn56ycReBImtdnjzXsN+mGpLjM86SoDpBKwqbogGsH0kE//Spy64LKoGWLjFxNWrw6piDcgMdHCiGpW6eSuB180m9J+8K/QcfU=
3,4,1,1,changed,2020-11-29 09:21:22,2020-11-29 11:21:20,1,0,2020-11-29 09:21:22,accuweather.com,1606666880,.accuweather.com,1,0,ak_bmsc,/,0,0,5BFCEEE8D74E594B434DB87794FF3564B81B7843661A000060AEC35F0B5FB94D~plqv/UPb6GB2qpVYtBiCCk+XkZN54211hE48lnJg+bMawTC7FBFzjPNQNU/1BrCm9BKPz6Iak28EhaEysajlzHCUQXRYIVQPnhvui8mWGQebBPAjVimpdMHTpmzh0jP0vgOV9I6sVrkSCNz9woVu7xTcv0LfmetU0PfM8EqHRkjK3q5h9IAJjIfYb86ccooaXNpi7Pn0nggyUlSuAyq++26xG6WKTRxoz1T0YUu8XTYPWuTaFUuZcxlNcjju3UXinTkvbckaItyQ6DRCR3TdOVZpFMQFlYkzSXj8KZTOHSg3spXQgBm7kNU58iYamfqYf4yfJxc6EHyvakudjjTHlpcA==
4,5,1,1,added,2020-11-29 09:21:22,2021-11-29 09:21:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1638195682,www.accuweather.com,0,0,_pubcid,/,0,0,75d177a9-195f-4d10-9c4b-be4d40e040b4
5,6,1,1,added,2020-11-29 09:21:22,2021-11-29 09:21:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1638195682,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606659680380%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606659682798%2C%22loc%22:1606659682000%2C%22cond%22:1606659682800}}}%2C%22cDate%22:%222020-11-29%22}
6,7,1,1,added,2020-11-29 09:21:22,2021-11-29 09:21:22,0,0,2020-11-29 09:21:22,www.accuweather.com,1638195682,www.accuweather.com,0,0,us_privacy,/,0,0,1YNN
7,8,1,1,added,2020-11-29 09:21:22,2020-11-29 09:36:22,0,0,2020-11-29 09:21:22,doubleclick.net,1606660582,.doubleclick.net,1,1,test_cookie,/,0,0,CheckForPermission
8,9,1,1,added,2020-11-29 09:21:22,2020-11-29 10:21:22,1,0,2020-11-29 09:21:22,accu-web-raine.azurewebsites.net,1606663282,.accu-web-raine.azurewebsites.net,1,1,TiPMix,/,0,0,79.4917328187692
9,10,1,1,added,2020-11-29 09:21:22,2020-11-29 10:21:22,1,0,2020-11-29 09:21:22,accu-web-raine.azurewebsites.net,1606663282,.accu-web-raine.azurewebsites.net,1,1,x-ms-routing-name,/,0,0,self
10,11,1,1,added,2020-11-29 09:21:23,2022-11-29 09:21:23,0,0,2020-11-29 09:21:23,accuweather.com,1669731683,.accuweather.com,1,0,_ga,/,0,0,GA1.2.971436378.1606659683
11,12,1,1,added,2020-11-29 09:21:23,2020-11-30 09:21:23,0,0,2020-11-29 09:21:23,accuweather.com,1606746083,.accuweather.com,1,0,_gid,/,0,0,GA1.2.1497222030.1606659683
12,13,1,1,added,2020-11-29 09:21:23,2020-11-29 09:22:23,0,0,2020-11-29 09:21:23,accuweather.com,1606659743,.accuweather.com,1,0,_gat_awxTracker,/,0,0,1
13,14,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,adsrvr.org,1638195683,.adsrvr.org,1,1,TDID,/,0,0,6bc718b2-b8b2-4cbf-b810-042742d47c65
14,15,1,1,added,2020-11-29 09:21:23,2021-11-29 15:10:09,0,0,2020-11-29 09:21:23,mid.rkdms.com,1638216609,.mid.rkdms.com,1,1,sessionid,/,0,0,h-3de091d724e68ea938e1a150a44aad7c_t-1606659683
15,16,1,1,added,2020-11-29 09:21:23,2021-11-29 15:21:23,1,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,1,A3,/,0,0,d=AQABBGOuw18CEEns10UQRZcIJACpQRmDcRIFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAApIs32LvPtiLuLDqtGfS57k
16,17,1,1,added,2020-11-29 09:21:23,2021-11-29 15:21:23,0,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,0,B,/,0,0,14sc335fs7bj3&b=3&s=sk
17,18,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:23,1,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,1,A3,/,0,0,d=AQABBGOuw18CEHvsgKcSNhVlTWDEWiVP7fIFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAAgxExcku6TPBM-7nk423zyA
18,19,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:23,0,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,0,B,/,0,0,f5raf4lfs7bj3&b=3&s=3i
19,20,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:23,1,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,1,A3,/,0,0,d=AQABBGOuw18CEJWKfCOHdRpfIxiGtacOxbwFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAAkuSAVXit4xTBFaMDUNlP_w
20,21,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:23,0,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,0,B,/,0,0,bph8ektfs7bj3&b=3&s=gm
21,22,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:23,1,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,1,A3,/,0,0,d=AQABBGOuw18CEDrvY-j4OTZdJgF41Zl6jpIFEgEBAQH_xF_NXwAAAAAA_SMAAA&S=AQAAAu2KNqOI4rfPmzETTqSl7Aw
22,23,1,1,changed,2020-11-29 09:21:23,2021-11-29 15:21:23,0,0,2020-11-29 09:21:23,yahoo.com,1638217283,.yahoo.com,1,0,B,/,0,0,953jqj5fs7bj3&b=3&s=pd
23,24,1,1,added,2020-11-29 09:21:23,2021-02-27 09:21:23,0,0,2020-11-29 09:21:23,3lift.com,1614435683,.3lift.com,1,1,tluid,/,0,0,15542656667382562325
24,25,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,casalemedia.com,1638195683,.casalemedia.com,1,0,CMID,/,0,0,X8OuY.56N1h8ultGuePVzAAA
25,26,1,1,added,2020-11-29 09:21:23,2021-02-27 09:21:23,0,0,2020-11-29 09:21:23,casalemedia.com,1614435683,.casalemedia.com,1,0,CMPS,/,0,0,460
26,27,1,1,added,2020-11-29 09:21:23,2020-11-30 09:21:23,0,0,2020-11-29 09:21:23,casalemedia.com,1606746083,.casalemedia.com,1,0,CMDD,/,0,0,AAL9UgE*
27,28,1,1,added,2020-11-29 09:21:23,2020-11-30 09:21:23,0,0,2020-11-29 09:21:23,casalemedia.com,1606746083,.casalemedia.com,1,0,CMST,/,0,0,X8OuY1-DrmMB
28,29,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,rubiconproject.com,1638195683,.rubiconproject.com,1,1,khaos,/,0,0,KI37OXSG-1E-LBO9
29,30,1,1,added,2020-11-29 09:21:23,9999-12-31 23:59:59,0,1,2020-11-29 09:21:23,rubiconproject.com,0,.rubiconproject.com,1,1,rsid,/,0,0,1|GNuxNVAQ/ObEUWah2Yg1PQvji99hJKStlzdRFcWfPQ1ywYWROwTkQ8aYZtWIiOikWhustFOrDwusFCicA0m6HAXtoRwBg0Y1qy8pecDeQU51/D/GCqBBO62TV6jYKVuVbrzx0VIwUy6fzA==
30,31,1,1,added,2020-11-29 09:21:23,2020-11-30 08:59:59,0,0,2020-11-29 09:21:23,rubiconproject.com,1606744799,.rubiconproject.com,1,1,ses2,/,0,0,
31,32,1,1,added,2020-11-29 09:21:23,2020-11-30 08:59:59,0,0,2020-11-29 09:21:23,rubiconproject.com,1606744799,.rubiconproject.com,1,1,vis2,/,0,0,135890^1
32,33,1,1,added,2020-11-29 09:21:23,2021-11-29 09:21:23,0,0,2020-11-29 09:21:23,rubiconproject.com,1638195683,.rubiconproject.com,1,1,audit,/,0,0,1|mFVHqHkj5bEdrtdLUfNlmxbnfSRvPFcgFnJ/cW8XOHD1XRTK65jgacLdKk/xvHBXWDgltc/TIgbggJ3pD4CYm04pEN3ApJUb0A+VO7RH1E0=
33,34,1,1,added,2020-11-29 09:21:23,2020-11-30 08:59:59,0,0,2020-11-29 09:21:23,rubiconproject.com,1606744799,.rubiconproject.com,1,1,ses15,/,0,0,
