index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{64e3b34b-60e2-46be-81d3-76bab5d9d38d},{ef34c192-df9c-4b9f-b30b-de92280433d4},1,0,0,0,2020-11-29T14:48:08.758Z
1,2,1,1,{564d8434-38a0-4a73-a4e4-e27994c74cc2},{63b262e7-f1f3-4556-8d8f-0b38d169681c},1,0,0,0,2020-11-29T14:48:08.758Z
2,3,1,1,{b6976ef4-09ee-4626-afb8-b16bf3aa0d91},{55ec014b-731e-47e4-a796-0af28d7de103},1,0,0,0,2020-11-29T14:48:08.760Z
3,4,1,1,{3ca33553-2821-4cc3-9467-699876fcae84},{1f274584-163f-4af2-b123-61da2a1da91b},1,0,0,0,2020-11-29T14:48:08.760Z
4,5,1,1,{bf9c8cb2-e538-4d41-b554-ca2c3b95dcc1},{ba78dbf8-87da-4c96-be7b-59686d4508eb},1,0,0,0,2020-11-29T14:48:08.760Z
5,6,1,1,{ffc1554a-0511-4ec0-9596-89d50fc13bd1},{379e53b5-55fc-42cb-8d30-e61551cbc7a4},1,0,0,0,2020-11-29T14:48:08.760Z
6,7,1,1,{02b7a5c1-27ec-45e2-b16e-f0c82b9df95e},{38d556d9-7a2e-4e07-9c30-5c22c739b2d9},1,0,0,0,2020-11-29T14:48:08.760Z
7,8,1,1,{a463d5ff-7bb2-496d-ae53-dff1f6384177},{12210b4c-9e3b-462e-b730-b308a84590bc},1,0,0,0,2020-11-29T14:48:08.760Z
8,9,1,1,{502528c3-99b2-4d63-88e5-e01b8665bc96},{2dda3133-b78b-42db-af26-4c8b50ec9106},1,0,0,0,2020-11-29T14:48:08.762Z
9,10,1,1,{503244c9-27e8-4cbd-8236-6f04d7bab072},{486f6b41-0ac8-4ac0-a0d7-872dc421732d},1,0,0,0,2020-11-29T14:48:08.762Z
10,11,1,1,{16ea4553-92c4-4a53-8575-083bf3b907a9},{790db0c3-1175-4c64-be8e-335baa5b27b5},1,0,0,0,2020-11-29T14:48:08.762Z
11,12,1,1,{199b679c-5a2f-4927-ab36-99b81f2b451f},{cb8070df-1db5-4035-b59f-0ba1a23d4bf9},1,0,0,0,2020-11-29T14:48:08.976Z
12,13,1,1,{9e23c679-cf6c-4e56-8916-1edda6b76279},{4d913afc-d825-4534-a550-d98e9dc5ace9},1,0,0,0,2020-11-29T14:48:09.038Z
