index,id,crawl_id,visit_id,change,creationTime,expiry,is_http_only,is_session,last_accessed,raw_host,expires,host,is_domain,is_secure,name,path,policy,status,value
0,1,1,1,added,2020-11-29 09:48:07,2020-11-29 09:58:06,0,0,2020-11-29 09:48:07,www.accuweather.com,1606661886,www.accuweather.com,0,0,awx_session_essential,/,0,0,%7B%22partner%22%3Anull%2C%22featuredIndex%22%3A%7B%22lifestyle%22%3A%22allergies%22%2C%22localizedLifestyle%22%3A%22Allergies%22%2C%22category%22%3A%22Low%22%2C%22categoryColor%22%3Anull%2C%22isStatusRed%22%3Afalse%7D%7D
1,2,1,1,added,2020-11-29 09:48:07,2020-11-29 10:48:06,1,0,2020-11-29 09:48:07,accuweather.com,1606664886,.accuweather.com,1,1,AKA_A2,/,0,0,A
2,3,1,1,added,2020-11-29 09:48:07,2020-11-29 11:48:07,1,0,2020-11-29 09:48:07,accuweather.com,1606668487,.accuweather.com,1,0,ak_bmsc,/,0,0,DE1ADA079A674FD2990721495B7D99C5B81B7836AA1E0000A6B4C35FA5030B73~plM8lHOiFyEZX6F+YD8BSxkAKpK29WS9662jbyzCoX4yFrOKmlRbT1wj2MgAJlmgBK0T9VpYsGNNlRmZu04eZ/iIyfmMdl6DpFSRzYm5lA1H2aieP34z8zz4wCVuXEhrmalmeidp0yf1JG0fwmvdeOMtB9MselyC7DaOUmXjzYznUUvuejPA4icOYRRt3WjgzAGlCJheTwkPhC0xwPkd48tQG2sU9hQzP2sUtvA+hFKlI=
3,4,1,1,changed,2020-11-29 09:48:07,2020-11-29 11:48:06,1,0,2020-11-29 09:48:07,accuweather.com,1606668486,.accuweather.com,1,0,ak_bmsc,/,0,0,DE1ADA079A674FD2990721495B7D99C5B81B7836AA1E0000A6B4C35FA5030B73~pl7n3fQ2F7UhXpOg08XgoedGsK6M2Jw7PL7/BGCrX5ZBKM5/l+GQsGpKUYnw9JuZz02ScCb0hXOX//uqyWBNqsaoZnV0U+HXKSrYRGecDmJ+q7CLKDdMYLTs+NrNHjwHvd/kb+vNtz+jRTJQoXNZg3MxRdBtP6YiR8VsCrDR9MeUP1RzafsY3uOm+OJrQHhf3mR2OTwmZJupd8Y2rkjAhMwVrSQ9Di2hy+5hMw9iCNtHatg4kOhlcDiRo3/U1tIMfbRJpo97+/yf4Zz6Q+ArtSs/EOATLOsFYC9a0ehMybsbtBtZBiHN8BLjKx2WwWVjAiVaANVX0Y9ZEwb6gNYrA7Gg==
4,5,1,1,added,2020-11-29 09:48:08,2021-11-29 09:48:08,0,0,2020-11-29 09:48:08,www.accuweather.com,1638197288,www.accuweather.com,0,0,_pubcid,/,0,0,fe704f83-147d-4b4c-ba78-088640a62531
5,6,1,1,added,2020-11-29 09:48:08,2021-11-29 09:48:08,0,0,2020-11-29 09:48:08,www.accuweather.com,1638197288,www.accuweather.com,0,0,awx_user,/,0,0,{%22rl%22:[%22328802%22]%2C%22tp%22:%22F%22%2C%22lang%22:%22en-us%22%2C%22isDarkMapStyle%22:false%2C%22lifestyle%22:%22allergies%22%2C%22cache%22:{%22lang%22:%22en-us%22%2C%22tp%22:%22F%22%2C%22items%22:{%22328802%22:{%22we%22:1606661286754%2C%22tei%22:[]%2C%22wca%22:false%2C%22ix%22:1606661288346%2C%22loc%22:1606661288000%2C%22cond%22:1606661288346}}}%2C%22cDate%22:%222020-11-29%22}
6,7,1,1,added,2020-11-29 09:48:08,2021-11-29 09:48:08,0,0,2020-11-29 09:48:08,www.accuweather.com,1638197288,www.accuweather.com,0,0,us_privacy,/,0,0,1YNN
7,8,1,1,added,2020-11-29 09:48:08,2020-11-29 10:48:08,1,0,2020-11-29 09:48:08,accu-web-raine.azurewebsites.net,1606664888,.accu-web-raine.azurewebsites.net,1,1,TiPMix,/,0,0,24.8270513605452
8,9,1,1,added,2020-11-29 09:48:08,2020-11-29 10:48:08,1,0,2020-11-29 09:48:08,accu-web-raine.azurewebsites.net,1606664888,.accu-web-raine.azurewebsites.net,1,1,x-ms-routing-name,/,0,0,self
9,10,1,1,added,2020-11-29 09:48:08,2022-11-29 09:48:08,0,0,2020-11-29 09:48:08,accuweather.com,1669733288,.accuweather.com,1,0,_ga,/,0,0,GA1.2.920564625.1606661289
10,11,1,1,added,2020-11-29 09:48:08,2020-11-30 09:48:08,0,0,2020-11-29 09:48:08,accuweather.com,1606747688,.accuweather.com,1,0,_gid,/,0,0,GA1.2.2074119856.1606661289
11,12,1,1,added,2020-11-29 09:48:08,2020-11-29 09:49:08,0,0,2020-11-29 09:48:08,accuweather.com,1606661348,.accuweather.com,1,0,_gat_awxTracker,/,0,0,1
12,13,1,1,added,2020-11-29 09:48:08,2021-11-29 15:36:54,0,0,2020-11-29 09:48:08,mid.rkdms.com,1638218214,.mid.rkdms.com,1,1,sessionid,/,0,0,h-e7552465dcb574f36ade5bd80c9536f3_t-1606661288
13,14,1,1,added,2020-11-29 09:48:08,2022-11-19 09:48:08,0,0,2020-11-29 09:48:08,scorecardresearch.com,1668869288,.scorecardresearch.com,1,0,UID,/,0,0,1C823a21936a86ac5f9a86g1606661288
14,15,1,1,added,2020-11-29 09:48:08,2022-11-19 09:48:08,0,0,2020-11-29 09:48:08,scorecardresearch.com,1668869288,.scorecardresearch.com,1,0,UIDR,/,0,0,1606661288
15,16,1,1,changed,2020-11-29 06:34:48,2021-11-29 15:48:08,1,0,2020-11-29 09:48:08,yahoo.com,1638218888,.yahoo.com,1,1,A3,/,0,0,d=AQABBFiHw18CEKCDaDgt1yKg3QpPFgWkUaYFEgEBAQHYxF_NXwAAAAAA_SMAAAcIWIfDXwWkUaY&S=AQAAAiazZTtjm49DbCZaPmBMhDg
16,17,1,1,changed,2020-11-29 06:34:48,2021-11-29 15:48:08,0,0,2020-11-29 09:48:08,yahoo.com,1638218888,.yahoo.com,1,0,B,/,0,0,ackd40lfs71qo&b=3&s=r1
17,18,1,1,changed,2020-11-29 06:34:48,2021-11-29 15:48:08,0,0,2020-11-29 09:48:08,yahoo.com,1638218888,.yahoo.com,1,1,GUC,/,0,0,AQEBAQFfxNhfzUIfygSF
18,19,1,1,added,2020-11-29 09:48:08,2021-11-29 09:48:08,0,0,2020-11-29 09:48:08,adsrvr.org,1638197288,.adsrvr.org,1,1,TDID,/,0,0,ede97064-a1cb-49a1-8998-e3c029c4d63c
19,20,1,1,added,2020-11-29 09:48:09,2021-11-29 09:48:08,0,0,2020-11-29 09:48:09,casalemedia.com,1638197288,.casalemedia.com,1,0,CMID,/,0,0,X8O0qBLCpXbKJfvqD0-RBAAA
20,21,1,1,added,2020-11-29 09:48:09,2021-02-27 09:48:08,0,0,2020-11-29 09:48:09,casalemedia.com,1614437288,.casalemedia.com,1,0,CMPS,/,0,0,460
21,22,1,1,added,2020-11-29 09:48:09,2020-11-30 09:48:08,0,0,2020-11-29 09:48:09,casalemedia.com,1606747688,.casalemedia.com,1,0,CMDD,/,0,0,AAL9UgE*
22,23,1,1,added,2020-11-29 09:48:09,2020-11-30 09:48:08,0,0,2020-11-29 09:48:09,casalemedia.com,1606747688,.casalemedia.com,1,0,CMST,/,0,0,X8O0qF-DtKgB
23,24,1,1,changed,2020-11-29 06:23:27,2021-11-29 09:48:09,0,0,2020-11-29 09:48:09,rubiconproject.com,1638197289,.rubiconproject.com,1,1,khaos,/,0,0,KI31C3LR-1A-LKSA
24,25,1,1,added,2020-11-29 09:48:09,9999-12-31 23:59:59,0,1,2020-11-29 09:48:09,rubiconproject.com,0,.rubiconproject.com,1,1,rsid,/,0,0,1|GNuxNVAQ/ObEUWah2Yg1PQvji99hJKStlzdRFcWfPQ1ywYWROwTkQ8aYZtWIiOikWhustFOrDwusFCicA0m6HAXtoRwBg0Y1qy8pecDeQU51/D/GCqBBO62TV6jYKVuVbrzx0VIwUy6fzA==
25,26,1,1,added,2020-11-29 09:48:09,2020-11-30 09:00:00,0,0,2020-11-29 09:48:09,rubiconproject.com,1606744800,.rubiconproject.com,1,1,ses2,/,0,0,
26,27,1,1,added,2020-11-29 09:48:09,2020-11-30 09:00:00,0,0,2020-11-29 09:48:09,rubiconproject.com,1606744800,.rubiconproject.com,1,1,vis2,/,0,0,135890^1
27,28,1,1,changed,2020-11-29 06:23:27,2021-11-29 09:48:09,0,0,2020-11-29 09:48:09,rubiconproject.com,1638197289,.rubiconproject.com,1,1,audit,/,0,0,1|mFVHqHkj5bGgWR2lCw0OaBbnfSRvPFcgFnJ/cW8XOHAhsEiY5IfaEMLdKk/xvHBXWDgltc/TIgbggJ3pD4CYmxzibUhNNhM00A+VO7RH1E0=
28,29,1,1,added,2020-11-29 09:48:09,2020-11-30 09:00:00,0,0,2020-11-29 09:48:09,rubiconproject.com,1606744800,.rubiconproject.com,1,1,ses9,/,0,0,135890^1
29,30,1,1,added,2020-11-29 09:48:09,2020-11-30 09:00:00,0,0,2020-11-29 09:48:09,rubiconproject.com,1606744800,.rubiconproject.com,1,1,vis9,/,0,0,135890^1
30,31,1,1,changed,2020-11-29 06:23:27,2020-11-30 09:00:00,0,0,2020-11-29 09:48:09,rubiconproject.com,1606744800,.rubiconproject.com,1,1,vis15,/,0,0,92444^1&135890^1
31,32,1,1,added,2020-11-29 09:48:09,2021-02-27 09:48:09,0,0,2020-11-29 09:48:09,3lift.com,1614437289,.3lift.com,1,1,tluid,/,0,0,6916769803143477048
